"Ion Mode","Name","Formula","Molecular Weight","RT [Min]","Levels","Fish Coverage"
"Pos","Betaine","C5 H11 N O2",117.07898,1.057,"MSI Level I; level 2",NA
"Pos","Betaine","C5 H11 N O2",117.07898,1.023,"MSI Level I; level 2",NA
"Pos","5-AMINOPENTANOATE","C5 H11 N O2",117.07898,1.275,"MSI Level I; level 1",NA
"Pos","L-METHIONINE","C5 H11 N O2 S",149.05105,1.144,"MSI Level I; level 1",NA
"Pos","tert-Butyl hydroxycarbamate","C5 H11 N O3",133.07389,0.903,"MSI Level III; level 3",NA
"Pos","Ethyl bis(hydroxymethyl)carbamate","C5 H11 N O4",149.06881,0.872,"MSI Level III; level 3",NA
"Pos","Acamprosate","C5 H11 N O4 S",181.04088,0.94,"MSI Level III; level 3",NA
"Pos","4-guanidinobutanal","C5 H11 N3 O",129.09021,1.121,"MSI Level III; level 3",NA
"Pos","D-Ribulose 5-phosphate","C5 H11 O8 P",230.01915,0.733,"MSI Level I; level 3",NA
"Pos","DL-Ornithine","C5 H12 N2 O2",132.08988,0.957,"MSI Level I; level 3",NA
"Pos","S-Aminoethyl-L-cysteine","C5 H12 N2 O2 S",164.06195,1.331,"MSI Level III; level 3",NA
"Pos","1-Piperazinecarboximidamide","C5 H12 N4",128.1062,1.119,"MSI Level III; level 3",NA
"Pos","Choline","C5 H13 N O",103.09971,1.194,"MSI Level II; level 2",NA
"Pos","2-(Propylamino)ethanesulfonic acid","C5 H13 N O3 S",167.06161,0.921,"MSI Level III; level 3",NA
"Pos","{2-[(2-Aminoethyl)amino]ethyl}carbamic acid","C5 H13 N3 O2",147.10078,0.901,"MSI Level III; level 3",NA
"Pos","PHOSPHOCHOLINE","C5 H14 N O4 P",183.06604,0.879,"MSI Level I; level 1",NA
"Pos","{[(2,2-Dimethoxyethyl)amino]methyl}phosphonic acid","C5 H14 N O5 P",199.06096,1.02,"MSI level III; level 3",NA
"Pos","3-(dimethylamino)-1-propylamine","C5 H14 N2",102.1157,1.394,"MSI Level III; level 3",NA
"Pos","2TN51YD919","C5 H4 N4 O",136.03851,1.147,"MSI Level III; level 3",NA
"Pos","Xanthine","C5 H4 N4 O2",152.03343,1.155,"MSI Level I; level 3",NA
"Pos","Uric Acid","C5 H4 N4 O3",168.02834,1.143,"MSI Level I; level 3",NA
"Pos","Furfural","C5 H4 O2",96.02113,0.846,"MSI Level III; level 3",NA
"Pos","Guanine","C5 H5 N5 O",151.04941,1.156,"MSI Level I; level 3",NA
"Pos","4-IMIDAZOLEACETIC ACID","C5 H6 N2 O2",126.04293,1.126,"MSI Level I; level 1",NA
"Pos","63OFI15S80","C5 H6 O3",114.03169,1.784,"MSI Level III; level 3",NA
"Pos","3-Oxocyclobutanecarboxylic acid","C5 H6 O3",114.03169,0.846,"MSI Level III; level 3",NA
"Pos","alpha-Ketoglutaric acid","C5 H6 O5",146.02152,1.089,"MSI Level I; level 3",NA
"Pos","L-Pyroglutamic acid","C5 H7 N O3",129.04259,0.894,"MSI Level I; level 2",NA
"Pos","CBX394737H","C5 H7 N3",109.064,1.001,"MSI Level III; level 3",NA
"Pos","N-(2-Cyanoethyl)glycine","C5 H8 N2 O2",128.05858,1.035,"MSI Level III; level 3",NA
"Pos","glutaral","C5 H8 O2",100.05243,1.266,"MSI Level III; level 3",NA
"Pos","ETHYLMALONIC ACID","C5 H8 O4",132.04226,1.553,"MSI Level I; level 3",NA
"Pos","Monoethyl malonic acid","C5 H8 O4",132.04226,1.755,"MSI Level III; level 3",NA
"Pos","Glutaric acid","C5 H8 O4",132.04226,1.346,"MSI Level I; level 3",NA
"Pos","YA2V724S0A","C5 H8 O4",132.04226,1.141,"MSI Level III; level 3",NA
"Pos","Glutaric acid","C5 H8 O4",132.04226,1.469,"MSI Level I; level 3",NA
"Pos","Dimethyl malonate","C5 H8 O4",132.04226,1.62,"MSI Level III; level 3",NA
"Pos","N-Methylpyrrolidone","C5 H9 N O",99.06841,1.268,"MSI Level III; level 3",NA
"Pos","d-Valerolactam","C5 H9 N O",99.06841,4.16,"MSI Level II; level 3",NA
"Pos","L-PROLINE","C5 H9 N O2",115.06333,0.979,"MSI Level I; level 1",NA
"Pos","L-Hydroxyproline","C5 H9 N O3",131.05824,0.876,"MSI Level I; level 3",NA
"Pos","Aminolevulinic acid","C5 H9 N O3",131.05824,1.154,"MSI Level I; level 3",NA
"Pos","N-ACETYL-DL-SERINE","C5 H9 N O4",147.05316,8.918,"MSI Level III; level 3",NA
"Pos","3-hydroxy-L-glutamic acid","C5 H9 N O5",163.04807,0.836,"MSI Level III; level 3",NA
"Pos","Histamine","C5 H9 N3",111.07965,1.399,"MSI Level III; level 3",NA
"Pos","1-(4,6-Diaminopyrimidin-5-yl)guanidine","C5 H9 N7",167.09194,1.367,"MSI Level III; level 3",NA
"Pos","3-Methyl-4-phosphono-2-butenoic acid","C5 H9 O5 P",180.01876,1.815,"MSI Level III; level 3",NA
"Pos","4-Methoxy-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane 1-oxide","C5 H9 O5 P",180.01876,1.942,"MSI Level III; level 3",NA
"Pos","3-Hydroxy-2,5-dioxopentyl dihydrogen phosphate","C5 H9 O7 P",212.00859,0.741,"MSI Level III; level 3",NA
"Pos","9434G2C47P","C6 H10 N2 O2",142.07423,1.115,"MSI Level III; level 3",NA
"Pos","9434G2C47P","C6 H10 N2 O2",142.07423,1.079,"MSI Level III; level 3",NA
"Pos","1-Methyl-2-pyrrolidinone-4-carboxamide","C6 H10 N2 O2",142.07423,1.017,"MSI Level III; level 3",NA
"Pos","oxiracetam","C6 H10 N2 O3",158.06914,0.901,"MSI Level III; level 3",NA
"Pos","YV703N7VOG","C6 H10 N2 O4",174.06406,1.005,"MSI Level III; level 3",NA
"Pos","2-(5-Amino-2-methyl-4-nitro-1H-imidazol-1-yl)ethanol","C6 H10 N4 O3",186.07529,1.355,"MSI Level III; level 3",NA
"Pos","Meglutol","C6 H10 O5",162.05282,0.841,"MSI Level I; level 3",NA
"Pos","58UBG0IB0R","C6 H10 O6",178.04774,1.152,"MSI Level III; level 3",NA
"Pos","D-Glucono-delta-lactone","C6 H10 O6",178.04774,0.849,"MSI Level III; level 3",NA
"Pos","Vigabatrin","C6 H11 N O2",129.07898,1.286,"MSI Level III; level 3",NA
"Pos","(S)-4-Isopropyl-2-oxazolidinone","C6 H11 N O2",129.07898,1.513,"MSI Level III; level 3",NA
"Pos","PIPECOLATE","C6 H11 N O2",129.07898,0.973,"MSI Level I; level 1",NA
"Pos","Nipecotic acid","C6 H11 N O2",129.07898,1.13,"MSI Level II; level 3",NA
"Pos","1V1VN1&1","C6 H11 N O2",129.07898,1.47,"MSI Level III; level 3",NA
"Pos","R-nipecotic acid","C6 H11 N O2",129.07898,1.326,"MSI Level III; level 3",NA
"Pos","Isonipecotic acid","C6 H11 N O2",129.07898,1.795,"MSI Level III; level 3",NA
"Pos","4-Morpholinylacetic acid","C6 H11 N O3",145.07389,0.979,"MSI Level III; level 3",NA
"Pos","N-METHYL-L-GLUTAMATE","C6 H11 N O4",161.06881,0.993,"MSI Level I; level 1",NA
"Pos",".alpha.-Aminoadipic acid","C6 H11 N O4",161.06881,1.117,"MSI Level I; level 3",NA
"Pos","1,2,3-Propanetricarboxamide","C6 H11 N3 O3",173.08004,1.208,"MSI Level III; level 3",NA
"Pos","4-(Carbamoylhydrazono)pentanoic acid","C6 H11 N3 O3",173.08004,1.259,"MSI Level III; level 3",NA
"Pos","5-guanidino-2-oxopentanoic acid","C6 H11 N3 O3",173.08004,1.034,"MSI Level III; level 3",NA
"Pos","Piperidin-4-carboxamid","C6 H12 N2 O",128.09496,1.305,"MSI Level III; level 3",NA
"Pos","L-Alanyl-L-alanine","C6 H12 N2 O3",160.08479,1.15,"MSI Level III; level 3",NA
"Pos","D-Alanyl-D-alanine","C6 H12 N2 O3",160.08479,0.977,"MSI Level III; level 3",NA
"Pos","L-Seryl-L-alanine","C6 H12 N2 O4",176.07971,1.03,"MSI Level III; level 3",NA
"Pos","(2E,2'E)-2,2'-[(1E,2E)-3,4-Dihydroxy-1,2-butanediylidene]dihydrazinecarbothioamide","C6 H12 N6 O2 S2",264.04631,0.859,"MSI Level III; level 3",NA
"Pos","cealysin","C6 H12 N6 O3",216.09709,1.459,"MSI Level III; level 3",NA
"Pos","N,N-Diethylglycine","C6 H13 N O2",131.09463,1.176,"MSI Level III; Level 3","45.45"
"Pos","Isoleucine","C6 H13 N O2",131.09463,1.352,"MSI Level I; level 2",NA
"Pos","Leucine","C6 H13 N O2",131.09463,1.445,"MSI Level I; level 2",NA
"Pos","2-(TERT-BUTYLSULFONYL)ETHANETHIOAMIDE","C6 H13 N O2 S2",195.03877,1.379,"MSI Level III; level 3",NA
"Pos","2,2-DIETHOXYACETAMIDE","C6 H13 N O3",147.08954,1.094,"MSI Level III; level 3",NA
"Pos","afegostat","C6 H13 N O3",147.08954,1.007,"MSI Level III; level 3",NA
"Pos","Bicine","C6 H13 N O4",163.08446,0.88,"MSI Level III; level 3",NA
"Pos","L-(+)-Citrulline","C6 H13 N3 O3",175.09569,0.918,"MSI Level I; level 2",NA
"Pos","Argininic acid","C6 H13 N3 O3",175.09569,1.209,"MSI Level III; level 3","65.52"
"Pos","6-O-Phosphono-D-gluconic acid","C6 H13 O10 P",276.02463,0.718,"MSI Level III; level 3",NA
"Pos","Glucose 1-phosphate","C6 H13 O9 P",260.02972,0.822,"MSI Level I; level 2",NA
"Pos","D-Glucose 6-phosphate","C6 H13 O9 P",260.02972,0.715,"MSI Level I; level 2",NA
"Pos","Beta-lysine","C6 H14 N2 O2",146.10553,1.809,"MSI Level III; level 3",NA
"Pos","L-LYSINE","C6 H14 N2 O2",146.10553,1.124,"MSI Level I; level 1",NA
"Pos","L-LYSINE","C6 H14 N2 O2",146.10553,1.005,"MSI Level I; level 1",NA
"Pos","DL-Arginine","C6 H14 N4 O2",174.11168,1.08,"MSI Level I; level 2",NA
"Pos","Triethylene glycol","C6 H14 O4",150.08921,1.164,"MSI Level III; level 3",NA
"Pos","Triethylene glycol","C6 H14 O4",150.08921,1.133,"MSI Level III; level 3",NA
"Pos","Hexitol","C6 H14 O6",182.07904,0.832,"MSI Level I; level 3",NA
"Pos","2-Amino-4-methylpentanehydrazide","C6 H15 N3 O",145.12151,2.637,"MSI Level III; level 3",NA
"Pos","2-(Diethylamino)acetohydrazide","C6 H15 N3 O",145.12151,2.957,"MSI Level III; level 3",NA
"Pos","Glycerophosphoglycerol","C6 H15 O8 P",246.05045,0.733,"MSI Level III; level 3",NA
"Pos","NICOTINAMIDE","C6 H6 N2 O",122.04801,1.413,"MSI Level I; level 1",NA
"Pos","ethoxymethylenemalononitrile","C6 H6 N2 O",122.04801,1.109,"MSI Level III; level 3","16.39"
"Pos","5-Methylfuran-2-carboxylic acid","C6 H6 O3",126.03169,0.712,"MSI Level III; Level 3","33.33"
"Pos","(E)-Aconitic Acid","C6 H6 O6",174.01644,1.097,"MSI Level I; level 3",NA
"Pos","phenylamine","C6 H7 N",93.05785,1.139,"MSI Level III; level 3",NA
"Pos","1,3-dimethyluracil","C6 H8 N2 O2",140.05858,1.151,"MSI Level III; level 3",NA
"Pos","1,5-Dimethyl-1H-pyrazole-3-carboxylic acid","C6 H8 N2 O2",140.05858,1.359,"MSI Level III; level 3",NA
"Pos","1,3-dimethylbarbituric acid","C6 H8 N2 O3",156.05349,1.123,"MSI Level III; level 3",NA
"Pos","lactide","C6 H8 O4",144.04226,0.845,"MSI Level III; level 3",NA
"Pos","beta-Ketoadipic acid","C6 H8 O5",160.03717,0.871,"MSI Level III; level 3",NA
"Pos","alpha-ketoadipic acid","C6 H8 O5",160.03717,1.146,"MSI Level I; level 3",NA
"Pos","Citric acid","C6 H8 O7",192.027,0.831,"MSI Level I; level 3",NA
"Pos","Guvacine","C6 H9 N O2",127.06333,1.137,"MSI Level III; level 3",NA
"Pos","Methyl-5-oxopyrrolidin-3-carboxylat","C6 H9 N O3",143.05824,0.856,"MSI Level III; level 3",NA
"Pos","N-Formyl-L-glutamic acid","C6 H9 N O5",175.04807,1.151,"MSI Level III; level 3",NA
"Pos","N-Acetyl-L-aspartic acid","C6 H9 N O5",175.04807,0.827,"MSI Level I; level 3",NA
"Pos","N-(Carboxymethyl)-L-aspartic acid","C6 H9 N O6",191.04299,0.817,"MSI Level III; level 3",NA
"Pos","5-Amino-3-cyclopropylpyrazole","C6 H9 N3",123.07965,0.084,"MSI Level III; level 3",NA
"Pos","L-HISTIDINE","C6 H9 N3 O2",155.06948,1.005,"MSI Level I; level 1",NA
"Pos","2-(1H-Pyrazolo[1,5-b][1,2,4]triazol-2-yl)ethanamine","C6 H9 N5",151.0858,1.336,"MSI Level III; level 3",NA
"Pos","3-(2-Hydroxyethyl)-6-methyluracil","C7 H10 N2 O3",170.06914,1.151,"MSI Level III; level 3",NA
"Pos","JJO1TS4A8Y","C7 H10 N4 O",166.08546,1.339,"MSI Level III; level 3",NA
"Pos","3-QUINUCLIDINONE","C7 H11 N O",125.08406,1.435,"MSI Level III; level 3",NA
"Pos","Arecaidine","C7 H11 N O2",141.07898,1.268,"MSI Level III; level 3",NA
"Pos","Ethyl 3-oxo-1-pyrrolidinecarboxylate","C7 H11 N O3",157.07389,3.171,"MSI Level III; level 3",NA
"Pos","N-Acetyl-L-glutamic acid","C7 H11 N O5",189.06372,1.144,"MSI Level I; level 3",NA
"Pos","3-Methylhistidine","C7 H11 N3 O2",169.08513,1.013,"MSI Level I; level 2",NA
"Pos","5-[(2-Hydroxyethyl)amino]-6-methyl-2,4(1H,3H)-pyrimidinedione","C7 H11 N3 O3",185.08004,1.253,"MSI Level III; level 3",NA
"Pos","1-butylimidazole","C7 H12 N2",124.10005,1.43,"MSI Level III; level 3",NA
"Pos","N~2~-Acetyl-L-alpha-glutamine","C7 H12 N2 O4",188.07971,1.145,"MSI Level III; level 3",NA
"Pos","1SE3HD391H","C7 H13 N O2",143.09463,1.145,"MSI Level III; level 3",NA
"Pos","N-Acetylvaline","C7 H13 N O3",159.08954,0.993,"MSI Level III; level 3",NA
"Pos","n-boc-glycine","C7 H13 N O4",175.08446,1.241,"MSI Level III; level 3",NA
"Pos","3K9BK9LB73","C7 H13 N O4",175.08446,1.14,"MSI Level III; level 3",NA
"Pos","4-(4,5-Dihydro-1H-imidazol-2-ylamino)butanoic acid","C7 H13 N3 O2",171.10078,1.583,"MSI Level III; level 3",NA
"Pos","1-(4-Amino-1-piperidinyl)ethanone","C7 H14 N2 O",142.11061,1.445,"MSI Level III; level 3",NA
"Pos","N-(Butylcarbamoyl)glycine","C7 H14 N2 O3",174.10044,1.687,"MSI Level III; level 3",NA
"Pos","2,2-Diaminoheptanedioic acid","C7 H14 N2 O4",190.09536,1.103,"MSI Level I; level 3",NA
"Pos","Acetylcholine","C7 H15 N O2",145.11028,1.347,"MSI Level I; level 2",NA
"Pos","tert-Butyl (2-hydroxyethyl)carbamate","C7 H15 N O3",161.10519,1.006,"MSI Level III; level 3",NA
"Pos","L-CARNITINE","C7 H15 N O3",161.10519,1.215,"MSI Level I; level 1",NA
"Pos","Glycineamide ribonucleotide","C7 H15 N2 O8 P",286.0566,0.799,"MSI Level III; level 3",NA
"Pos","6-Guanidinohexanoic Acid","C7 H15 N3 O2",173.11643,2.423,"MSI Level III; level 3",NA
"Pos","1-Isopropylpiperazine","C7 H16 N2",128.13135,1.609,"MSI Level III; level 3",NA
"Pos","4-(Aminomethyl)-1-methyl-4-piperidinol","C7 H16 N2 O",144.12626,1.449,"MSI Level III; level 3",NA
"Pos","4-[(3-Aminopropyl)amino]butanoic acid","C7 H16 N2 O2",160.12118,1.132,"MSI Level III; level 3",NA
"Pos","FCR6T2IYVU","C7 H16 N2 O2",160.12118,1.433,"MSI Level III; level 3",NA
"Pos","Methyl 3,6-diamino-2,3,6-trideoxyhexopyranoside","C7 H16 N2 O3",176.11609,1.017,"MSI Level III; level 3",NA
"Pos","(1-Aminoheptyl)phosphonic acid","C7 H18 N O3 P",195.10243,13.546,"MSI Level III; level 3",NA
"Pos","spermidine","C7 H19 N3",145.1579,1.6,"MSI Level I; level 3",NA
"Pos","Benzoxazole","C7 H5 N O",119.03711,2.829,"MSI Level III; level 3",NA
"Pos","Trigonelline","C7 H7 N O2",137.04768,1.142,"MSI Level I; level 2",NA
"Pos","4-Aminobenzoic acid","C7 H7 N O2",137.04768,5.034,"MSI Level I; level 2",NA
"Pos","Anthranilic acid","C7 H7 N O2",137.04768,4.809,"MSI Level III; level 3",NA
"Pos","3-Pyridylacetic acid","C7 H7 N O2",137.04768,2.019,"MSI Level II; level 2",NA
"Pos","Fosfosal","C7 H7 O6 P",217.99802,0.719,"MSI Level III; level 3",NA
"Pos","5-(Methoxymethylene)-2,2-dimethyl-1,3-dioxane-4,6-dione","C8 H10 O5",186.05282,1.008,"MSI Level III; level 3",NA
"Pos","N-Acetyl-L-histidine","C8 H11 N3 O3",197.08004,1.143,"MSI Level III; level 3",NA
"Pos","2-Amino-5-propyl[1,2,4]triazolo[1,5-a]pyrimidin-7(1H)-one","C8 H11 N5 O",193.09636,1.42,"MSI Level III; level 3",NA
"Pos","5-Butyl-2,4,6(1H,3H,5H)-pyrimidinetrione","C8 H12 N2 O3",184.08479,1.307,"MSI Level III; level 3",NA
"Pos","BO8PRP86RH","C8 H12 N3 O5 P",261.05146,0.066,"MSI Level III; level 3",NA
"Pos","6MW60CB71P","C8 H12 O6",204.06339,0.999,"MSI Level III; level 3",NA
"Pos","1-Acetyl-2-azepanone","C8 H13 N O2",155.09463,1.155,"MSI Level III; level 3",NA
"Pos","1-(2-Methoxyethyl)-5-oxo-3-pyrrolidinecarboxylic acid","C8 H13 N O4",187.08446,8.33,"MSI Level III; level 3",NA
"Pos","1-Amino-1,4-cyclohexanedicarboxylic acid","C8 H13 N O4",187.08446,8.466,"MSI Level III; level 3",NA
"Pos","(4S)-4-Acetamido-5-methoxy-5-oxopentanoic acid","C8 H13 N O5",203.07937,0.692,"MSI Level III; level 3",NA
"Pos","4-Cyclobutyl-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane 1-oxide","C8 H13 O4 P",204.05515,13.815,"MSI Level III; level 3",NA
"Pos","L-Alanyl-L-proline","C8 H14 N2 O3",186.10044,1.275,"MSI Level II; level 2",NA
"Pos","ser-pro","C8 H14 N2 O4",202.09536,1.128,"MSI Level III; level 3",NA
"Pos","ALA-GLU","C8 H14 N2 O5",218.09027,1.154,"MSI Level III; level 3",NA
"Pos","g-Glutamylcysteine","C8 H14 N2 O5 S",250.06234,1.099,"MSI Level III; level 3",NA
"Pos","Serylglutamic acid","C8 H14 N2 O6",234.08519,1.038,"MSI Level III; level 3",NA
"Pos","4-Aminomethyl-cyclohexanecarboxylic acid","C8 H15 N O2",157.11028,1.2,"MSI Level III; level 3",NA
"Pos","fructosylglycine","C8 H15 N O7",237.08485,0.848,"MSI Level III; level 3",NA
"Pos","Leucylglycine","C8 H16 N2 O3",188.11609,1.374,"MSI Level III; level 3",NA
"Pos","NALPHA-ACETYL-L-LYSINE","C8 H16 N2 O3",188.11609,1.696,"MSI Level I; level 3",NA
"Pos","[4-(2-Hydroxyethyl)-1-piperazinyl]acetic acid","C8 H16 N2 O3",188.11609,2.485,"MSI Level III; level 3",NA
"Pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11609,2.932,"MSI Level III; level 2",NA
"Pos","N6-Acetyl-L-lysine","C8 H16 N2 O3",188.11609,1.254,"MSI Level I; level 2",NA
"Pos","H-Asn-OtBu","C8 H16 N2 O3",188.11609,3.328,"MSI Level III; level 3",NA
"Pos","3-amino-N-(tert-butoxycarbonyl)-L-alanine","C8 H16 N2 O4",204.11101,1.572,"MSI Level III; level 3",NA
"Pos","3-Allyl-1,1-diethylthiourea","C8 H16 N2 S",172.10342,1.545,"MSI Level III; level 3",NA
"Pos","L-Alanyl-N-[1-(1H-pentazol-1-yl)ethyl]-L-alaninamide","C8 H16 N8 O2",256.13962,1.207,"MSI Level III; level 3",NA
"Pos","Gly-Lys","C8 H17 N3 O3",203.12699,1.294,"MSI Level III; level 3",NA
"Pos","2-Methyl-2-propanyl (2-hydrazino-2-oxoethyl)methylcarbamate","C8 H17 N3 O3",203.12699,1.64,"MSI Level III; level 3",NA
"Pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14298,1.223,"MSI Level II; level 3",NA
"Pos","Triethylene glycol dimethyl ether","C8 H18 O4",178.12051,1.664,"MSI Level III; level 3",NA
"Pos","Ethane, 1,1'-oxybis[2,2-dimethoxy-","C8 H18 O5",194.11542,13.106,"MSI Level III; level 3",NA
"Pos","PEG-4","C8 H18 O5",194.11542,1.973,"MSI Level III; level 3",NA
"Pos","3,5,7,9,11-Pentaoxatridecane","C8 H18 O5",194.11542,1.619,"MSI Level III; level 3",NA
"Pos","Dibutylamine","C8 H19 N",129.15175,7.698,"MSI Level III; level 3",NA
"Pos","diisopropylethylamine","C8 H19 N",129.15175,7.923,"MSI Level III; level 3",NA
"Pos","Octylamine","C8 H19 N",129.15175,9.077,"MSI Level III; level 3",NA
"Pos","SN-GLYCERO-3-PHOSPHOCHOLINE","C8 H20 N O6 P",257.10282,0.903,"MSI Level I; level 1",NA
"Pos","2-Hydroxy-5-(1H-tetrazol-1-yl)benzoic acid","C8 H6 N4 O3",206.04399,0.965,"MSI Level III; level 3",NA
"Pos","Ethynyloxybenzene","C8 H6 O",118.04186,1.357,"MSI Level III; level 3",NA
"Pos","ortho-Phthalaldehyde","C8 H6 O2",134.03678,1,"MSI Level III; level 3",NA
"Pos","6-Hydroxybenzofuran-3-one","C8 H6 O3",150.03169,0.828,"MSI Level III; level 3",NA
"Pos","3-Methoxybenzaldehyde","C8 H8 O2",136.05243,13.064,"MSI Level II; level 3",NA
"Pos","34ET764YF8","C8 H9 N",119.0735,2.315,"MSI Level III; level 3",NA
"Pos","3,4-Dihydro-2H-1,4-benzoxazine","C8 H9 N O",135.06841,1.303,"MSI Level III; level 3",NA
"Pos","96S7ZZ1KHE","C8 H9 N O2",151.06333,1.173,"MSI Level III; level 3",NA
"Pos","5-Formyl-2,4-dimethylpyrrole-3-carboxylic acid","C8 H9 N O3",167.05824,0.852,"MSI Level III; level 3",NA
"Pos","6-Ethyl-1,3-benzothiazol-2-amine","C9 H10 N2 S",178.05647,12.093,"MSI Level III; level 3",NA
"Pos","4,5,6-Trimethyl-2-sulfanylnicotinonitrile","C9 H10 N2 S",178.05647,11.965,"MSI Level III; level 3",NA
"Pos","L-PHENYLALANINE","C9 H11 N O2",165.07898,2.318,"MSI Level I; level 1",NA
"Pos","Benzocaine","C9 H11 N O2",165.07898,10.63,"MSI Level II; level 2",NA
"Pos","38Y050IUE4","C9 H11 N O2",165.07898,10.234,"MSI Level III; level 3",NA
"Pos","Benzocaine","C9 H11 N O2",165.07898,10.771,"MSI Level II; level 2",NA
"Pos","L-TYROSINE","C9 H11 N O3",181.07389,1.304,"MSI Level I; level 1",NA
"Pos","Uridine","C9 H12 N2 O6",244.06954,1.143,"MSI Level I; level 3",NA
"Pos","URIDINE-5-MONOPHOSPHATE","C9 H13 N2 O9 P",324.03587,0.819,"MSI Level I; level 1",NA
"Pos","6-Amino-1-(tetrahydro-2-furanylmethyl)-2,4(1H,3H)-pyrimidinedione","C9 H13 N3 O3",211.09569,1.163,"MSI Level III; level 3",NA
"Pos","CYTIDINE","C9 H13 N3 O5",243.08552,1.18,"MSI Level I; level 1",NA
"Pos","Imidazole-5-sulfonamide, 1-methyl-N-(morpholinomethyl)-4-nitro-","C9 H15 N5 O5 S",305.07939,0.83,"MSI Level III; level 3",NA
"Pos","N(2)-succinyl-L-ornithine","C9 H16 N2 O5",232.10592,1.559,"MSI Level III; level 3",NA
"Pos","N-(tert-Butoxycarbonyl)glycylglycin","C9 H16 N2 O5",232.10592,1.144,"MSI Level III; level 3",NA
"Pos","gamma-Glu-Thr","C9 H16 N2 O6",248.10084,1.123,"MSI Level III; level 3",NA
"Pos","(2S)-5-Carbamimidamido-2-(2-oxo-1-azetidinyl)pentanoic acid","C9 H16 N4 O3",228.12224,1.239,"MSI Level III; level 3",NA
"Pos","Azelaic acid","C9 H16 O4",188.10486,11.42,"MSI Level I; level 3",NA
"Pos","Acetyl-L-carnitine","C9 H17 N O4",203.11576,1.906,"MSI Level II; level 2",NA
"Pos","Boc-Ser-OMe; Boc-L-serine methyl ester","C9 H17 N O5",219.11067,1.321,"MSI Level III; level 3",NA
"Pos","D-PANTOTHENIC ACID","C9 H17 N O5",219.11067,1.591,"MSI Level I; level 3",NA
"Pos","8-(Methylsulfanyl)octanenitrile","C9 H17 N S",171.10817,13.963,"MSI Level III; level 3",NA
"Pos","N~6~-propanoyl-L-lysine","C9 H18 N2 O3",202.13174,2.099,"MSI Level III; level 3",NA
"Pos","Alanylleucine","C9 H18 N2 O3",202.13174,2.881,"MSI Level III; level 3",NA
"Pos","Ala-Leu","C9 H18 N2 O3",202.13174,3.403,"MSI Level III; level 3",NA
"Pos","meprobamate","C9 H18 N2 O4",218.12666,1.471,"MSI Level III; level 3",NA
"Pos","2,8-Diaminononanedioic acid","C9 H18 N2 O4",218.12666,2.665,"MSI Level III; level 3",NA
"Pos","[3-(2-Methyl-2-propanyl)-5-nitro-1,3-oxazinan-5-yl]methanol","C9 H18 N2 O4",218.12666,2.956,"MSI Level III; level 3",NA
"Pos","Methyl 3-[(tert-butoxycarbonyl)amino]-L-alaninate","C9 H18 N2 O4",218.12666,1.257,"MSI Level III; level 3",NA
"Pos","tert-Butyl {2-[methoxy(methyl)amino]-2-oxoethyl}carbamate","C9 H18 N2 O4",218.12666,1.722,"MSI Level III; level 3",NA
"Pos","Isopropyl beta-D-1-thiogalactopyranoside","C9 H18 O5 S",238.08749,13.789,"MSI Level III; level 3",NA
"Pos","2,2,6,6-Tetramethyl-4-piperidinamine","C9 H20 N2",156.16265,1.507,"MSI Level III; level 3",NA
"Pos","NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE","C9 H20 N2 O2",188.15248,1.145,"MSI Level I; level 1",NA
"Pos","tert-Butyl [2-(2-aminoethoxy)ethyl]carbamate","C9 H20 N2 O3",204.14739,1.15,"MSI Level III; level 3",NA
"Pos","Triisopropanolamine","C9 H21 N O3",191.15214,1.537,"MSI Level II; level 2",NA
"Pos","59711R38B0","C9 H7 N O2",161.04768,13.373,"MSI Level III; level 3",NA
"Pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04734,1.317,"MSI Level II; level 3",NA
"Pos","Di-2-Thienylmethane","C9 H8 S2",180.00674,0.102,"MSI Level III; level 3",NA
"Pos","Hippuric acid","C9 H9 N O3",179.05824,13.375,"MSI Level III; level 3",NA
"Pos","4-Acetamidobenzoic acid","C9 H9 N O3",179.05824,10.143,"MSI Level II; level 2",NA
"Pos","","C3 H9 N O3 S",139.03031,0.866,"MSI Level III; Level 4",NA
"Pos","","C H3 N O2",61.0165,1.263,"MSI Level III; Level 4",NA
"Pos","","C6 H12 N4 O S",188.07328,1.36,"MSI Level III; Level 4",NA
"Pos","","C23 H44 N6 O3 P2",514.29666,13.057,"MSI Level III; Level 4",NA
"Pos","","C4 H10 N3 O5 P",211.03574,0.826,"MSI Level III; Level 4",NA
"Pos","","C11 H12 N2 O2",204.08986,7.121,"MSI Level III; Level 4",NA
"Pos","","C7 H11 N3 O2 S",201.05715,0.922,"MSI Level III; Level 4",NA
"Pos","","C2 H8 N O4 P",141.01909,0.809,"MSI Level III; Level 4",NA
"Pos","","C4 H4 O2",84.02113,0.846,"MSI Level III; Level 4",NA
"Pos","","C8 H5 N3 O3 S",223.0043,0.086,"MSI Level III; Level 4",NA
